,BAA,AAA,UNRATE,GS10,TB3MS,HOUST,RPI,INDPRO,INVEST,CPIAUCSL,GDPC1,Covid
1959-04-01,0.06333333333333346,0.11000000000000003,-0.19999999999999987,0.11666666666666654,0.13666666666666671,-0.02498767949115166,0.005125004725851016,0.012390370563889844,-0.0008882714753222961,0.001147528668717257,8.913675384248876,0
1959-07-01,0.04666666666666656,0.01999999999999987,0.16666666666666666,0.11333333333333329,0.27666666666666667,0.008106435218233324,-0.0018232682559441808,-0.019972128907368287,0.006726243802676575,-3.845739236988758e-06,0.278809715499051,0
1959-10-01,0.03333333333333351,0.020000000000000167,-0.06666666666666672,0.003333333333333558,0.15000000000000005,0.01294867252967998,0.006340884065741292,0.019590805249140104,0.0030602437878627007,-0.00011794143047586896,1.1383015471430724,0
1960-01-01,-0.010000000000000083,-0.029999999999999954,0.03333333333333351,-0.1466666666666668,-0.39333333333333337,-0.12238990854878236,0.002083405426724324,0.0026531405792469265,-0.009594189031864412,-0.0006807354305993959,8.894873400141279,0
1960-04-01,0.0033333333333332624,-0.013333333333333345,0.0,-0.033333333333333215,-0.2833333333333334,0.03909398610988971,0.0022112071016741433,-0.007250482837590925,0.005984489910425772,0.0004506027497048019,-2.1592465838430996,0
1960-07-01,-0.08333333333333333,-0.06666666666666672,0.033333333333333215,-0.11666666666666685,0.006666666666666672,-0.04272049513493551,0.0004986737129574573,-0.005054156206958964,0.006526976173793682,-0.0004506027497048019,1.9549399294533032,0
1960-10-01,0.029999999999999954,0.033333333333333215,0.36666666666666653,0.013333333333333345,-0.07666666666666666,-0.010494693977760742,-0.001979012350802852,-0.01155728343749581,0.0008229041749476806,0.00033562681137233596,-5.165737529728887,0
1961-01-01,-0.02666666666666669,-0.0433333333333333,0.10000000000000024,-0.033333333333333215,0.04666666666666671,0.07015253038736209,0.005631920654116662,0.002022369305568835,-0.0075695646911831576,-0.00033562681137233596,2.6909996853525797,0
1961-04-01,0.003333333333333558,0.03666666666666677,0.0,0.04666666666666656,-0.020000000000000018,0.017326344941193856,0.006421615716915833,0.016511985007606977,0.009659074031110807,0.0,6.7344089130905616,0
1961-07-01,0.029999999999999954,0.040000000000000036,-0.06666666666666672,0.03333333333333336,-0.016666666666666757,0.011147724534083933,0.001544928415140016,0.006458395176203909,-0.0012440690160320973,0.0004450378943231155,7.608637950862374,0
1961-10-01,-0.006666666666666821,-0.010000000000000083,-0.2333333333333334,0.026666666666666543,0.10666666666666676,-0.015273490103602386,0.00823298213452528,0.014359276372646038,-0.003975742010095947,-0.00011164896838182041,7.770707414716327,0
1962-01-01,-0.01999999999999987,-0.010000000000000083,-0.13333333333333344,-0.04333333333333315,0.040000000000000036,0.018523283718270278,0.003361933669950782,0.004296107860855584,-0.0046054774630478095,0.000330181299834494,7.071770337623207,0
1962-04-01,-0.006666666666666821,-0.03666666666666648,-0.033333333333333215,-0.006666666666666672,0.0033333333333332624,-0.009132991396038292,0.0026356534656241473,-0.00035557109869133185,0.005609667870747496,-0.000994422196693101,3.602744036864891,0
1962-07-01,0.003333333333333558,0.013333333333333345,0.033333333333333215,0.02333333333333328,0.016666666666666607,-0.019555949362934182,0.0023034967905915713,0.00564931931298851,-0.0016622874556476337,0.0018684713915502194,4.888275567318345,0
1962-10-01,-0.03666666666666677,-0.02666666666666669,-0.033333333333333215,-0.040000000000000036,0.0300000000000001,0.05552972820276766,0.004542931895915814,0.0017456324611416403,0.002738955944550092,-0.0015376194206329075,1.315442129373423,0
1963-01-01,-0.013333333333333345,-0.016666666666666607,0.06666666666666672,0.023333333333333428,0.006666666666666672,-0.006455979726018413,0.0017889730864215636,0.008256866322341239,-0.005748679460210108,0.0003279226367108497,4.3446807291850575,0
1963-04-01,-0.013333333333333345,0.013333333333333345,-0.03333333333333351,0.020000000000000018,0.03333333333333336,0.011532219959959752,0.003904098196400104,0.008057272888268555,0.0020004095851717807,0.000762828772870113,4.464648015941464,0
1963-07-01,0.0,0.026666666666666394,-0.033333333333333215,0.029999999999999954,0.1299999999999999,0.03484718019692975,0.0036018762668075985,0.0026426441048636264,0.0019537909508855478,-0.0014161134005994391,8.70002131109402,0
1963-10-01,0.0033333333333332624,0.013333333333333345,0.0,0.016666666666666607,0.04666666666666671,-0.05585662254437729,0.0051548097277317835,0.003274718005412236,0.002141814506362749,0.0014065609062992774,2.615052201603163,0
1964-01-01,-0.006666666666666525,0.010000000000000083,-0.033333333333333215,0.029999999999999954,0.006666666666666672,0.005762554861264609,0.0042557290682380495,0.005172585901434286,-0.0037578349135056754,-0.0007578359149825372,8.347151669722308,0
1964-04-01,0.006666666666666525,0.010000000000000083,-0.06666666666666672,-0.016666666666666607,-0.020000000000000018,0.007173410188253608,0.005188992431361801,0.008238513331817318,-0.0008399202270084061,-7.302924198704375e-07,4.332722948976198,0
1964-07-01,-0.009999999999999787,0.0033333333333332624,-0.03333333333333351,0.010000000000000083,0.016666666666666607,-0.02108301010256645,0.005063008928836747,0.00558677768868258,0.006474776635335762,-7.270012254423364e-07,6.202074999144003,0
1964-10-01,-0.003333333333333558,0.006666666666666821,-0.033333333333333215,-0.006666666666666821,0.10333333333333335,0.006578414707244147,0.005699178010774612,0.009407913421454714,-0.003791046055777514,0.00010503425992129205,1.2348562958102605,0
1965-01-01,-0.009999999999999787,-0.006666666666666821,-0.09999999999999994,0.010000000000000083,0.0300000000000001,-0.01399127521249118,0.0038791422143239864,0.01002098666683334,-0.004124656235370949,-0.00010740007950627017,9.564369183250676,0
1965-04-01,0.023333333333333133,0.013333333333333345,-0.03333333333333351,0.0,-0.043333333333333446,0.014888539101061582,0.004163741713008188,0.006611912320558133,0.0018832768685970909,0.0010541610057065813,5.022222548175392,0
1965-07-01,0.020000000000000167,0.01999999999999987,-0.09999999999999994,0.02666666666666669,0.040000000000000036,-0.0013468031790016728,0.011684172046912522,0.005365880780418515,0.0019465327461517152,-0.0006349532947399853,8.79523406872309,0
1965-10-01,0.03666666666666648,0.05333333333333338,-0.09999999999999994,0.11000000000000003,0.15333333333333332,0.037004176363057674,0.0028121435106414814,0.008844353708705732,0.001434736328191022,0.00030947129512259863,9.111050461486059,0
1966-01-01,0.10000000000000024,0.08000000000000007,-0.06666666666666672,0.08333333333333333,0.06999999999999999,-0.05740924787491183,0.004239093818529938,0.009943777426821251,-0.008425262643760275,-1.0766037849367175e-05,9.61875800108487,0
