date,actual,forecast_AR,forecast_ADL,forecast_RF,forecast_Ensemble,CI_Lower,CI_Upper
1992-07-01,3.9330411994981773,3.1507170186955955,3.3407553836533928,3.4273172265911747,3.306263209646721,-2.358249564983322,8.970775984276763
1992-10-01,4.149821489325944,3.0975689594256037,4.437180449848477,3.659939833042592,3.7315630807722244,-1.9329496938578186,9.396075855402268
1993-01-01,0.6672181048244852,3.067541982907817,4.577823954079527,3.4218707286205676,3.6890788885359704,-1.9754338860940726,9.353591663166014
1993-04-01,2.32193150936979,2.9898138866375863,1.8955755029751797,2.899687884976264,2.595025758196343,-3.0694870164337,8.259538532826387
1993-07-01,1.9040801899045334,2.70597096233973,5.1421280062514025,2.6390453192201035,3.4957147626037455,-2.1687980120262975,9.160227537233789
1993-10-01,5.4039292080304335,2.8512330580538157,4.656215482293276,4.6047686090487545,4.037405716465282,-1.6271070581647606,9.701918491095325
1994-01-01,3.862740813035259,2.910363328096398,3.7178863172556285,3.6539200428996805,3.427389896083902,-2.237122878546141,9.091902670713946
1994-04-01,5.384328630134405,3.1990475992066605,4.9836537461557375,4.230308821839752,4.137670055734049,-1.5268427188959937,9.802182830364092
1994-07-01,2.3315299597626904,3.0957159782882773,3.802548736592567,4.777073401267801,3.891779372049548,-1.7727334025804948,9.556292146679592
1994-10-01,4.556232746715239,3.153965587808932,6.213727191331875,5.844286712740204,5.070659830627004,-0.5938529440030393,10.735172605257047
1995-01-01,1.4166105843251842,2.9270066413497546,4.137654823482063,4.927436163883641,3.9973658762384865,-1.6671468983915565,9.66187865086853
1995-04-01,1.1915149860357133,3.0495415060908067,1.8387719457963698,4.037890615280611,2.975401355722596,-2.689111418907447,8.63991413035264
1995-07-01,3.3885089042826166,2.745191044881575,3.8005366855584715,3.320785399643569,3.2888377100278716,-2.3756750646021714,8.953350484657914
1995-10-01,2.7071466987720783,2.785840881435495,3.5273117971392574,3.2590856810163307,3.1907461198636944,-2.4737666547663486,8.855258894493737
1996-01-01,2.985034692400035,2.9751352882427073,3.656279147169106,3.080148589617472,3.237187675009762,-2.427325099620281,8.901700449639804
1996-04-01,6.616746723562983,2.9183078875262782,5.153796927159968,5.899205951136139,4.657103588607462,-1.0074091860225813,10.321616363237505
1996-07-01,3.5721371730851104,3.0471962372612658,3.7176628247411414,4.1718864655895,3.6455818425306354,-2.0189309320994075,9.31009461716068
1996-10-01,4.132062019747451,3.305959058502234,2.782910437909546,5.275952806881995,3.7882741010979246,-1.8762386735321184,9.452786875727968
1997-01-01,2.5734765352304123,3.0327855446197876,4.380810077628335,5.914295858756483,4.442630493668202,-1.2218822809618413,10.107143268298245
1997-04-01,6.606020401069657,3.041936377513291,4.950477221176916,3.8333012411244183,3.9419049466048754,-1.7226078280251675,9.60641772123492
1997-07-01,4.963354527751562,3.007830496622053,4.014259212571581,6.018788358426949,4.346959355873527,-1.3175534187565159,10.01147213050357
1997-10-01,3.4009420197484985,3.344210988612574,5.905369885177885,5.128729333114832,4.79277006896843,-0.8717427056616129,10.457282843598474
1998-01-01,3.9949959545403146,3.144195297449965,3.853591639177854,3.465013795049186,3.487600243892335,-2.176912530737708,9.152113018522378
1998-04-01,3.685718592768694,3.0126676116027715,4.768659622981665,3.237943549909757,3.6730902614980643,-1.9914225131319787,9.337603036128108
1998-07-01,5.004326030774564,3.0603221331439623,1.9224733480337057,3.2064656619139162,2.7297537143638615,-2.9347590602661815,8.394266488993905
1998-10-01,6.385544996209802,3.0681875789305124,4.36420243640228,4.014711395390759,3.815700470241184,-1.8488123043888591,9.480213244871226
1999-01-01,3.740194050978829,3.232330756157028,4.2648558460919554,3.8194716496508887,3.7722194172999575,-1.8922933573300855,9.43673219193
1999-04-01,3.325112739828029,3.2887583450907045,2.077619456837781,3.108448497858397,2.8249420999289607,-2.8395706747010823,8.489454874559003
1999-07-01,5.268681314312573,3.0259588029677205,2.572804238728283,3.4564687077952736,3.018410583163759,-2.646102191466284,8.682923357793802
1999-10-01,6.509414268426639,3.0414227201654236,4.923473073982049,5.030003875655509,4.331633223267661,-1.3328795513623817,9.996145997897704
2000-01-01,1.448547603220618,3.2609184589600013,3.170516503494802,3.6711792680308757,3.3675380768285597,-2.2969746978014833,9.032050851458603
2000-04-01,7.219604137991809,3.2358288647337266,3.697237491486109,3.538314428834159,3.490460261684665,-2.174052512945378,9.154973036314708
2000-07-01,0.40752268148693815,2.918377754444514,2.565557662132622,1.8113945325280612,2.431776649701732,-3.232736124928311,8.096289424331776
2000-10-01,2.381054313956099,3.2738513034273304,2.2804679169265176,0.8172986008609676,2.1238726070716054,-3.5406401675584376,7.788385381701648
2001-01-01,-1.3133489796572917,2.6829908830880447,0.2521942184784715,1.2608628069854775,1.398682636183998,-4.265830138446045,7.063195410814041
2001-04-01,2.4902439659086895,2.766026026544838,1.1458628336103425,-0.06597628036333127,1.2819708599306163,-4.382541914699427,6.946483634560659
2001-07-01,-1.605775616727101,2.5227367678836132,-2.917631291398154,0.7632479734069426,0.12278448329746723,-5.541728291332576,5.78729725792751
2001-10-01,1.0975945209430904,2.7681353896219787,0.3146002539974318,0.6270478539635032,1.2365944991943045,-4.427918275435738,6.901107273824348
2002-01-01,3.331522227558281,2.455670705910459,2.5255663915870272,3.35924237481926,2.780159824105582,-2.884352950524461,8.444672598735625
2002-04-01,2.443348677388002,2.7753178695062717,3.311232924353847,4.729171741859251,3.60524084523979,-2.059271929390253,9.269753619869833
2002-07-01,1.6227496189515023,2.962280157754662,2.881277541546318,2.8997373249020644,2.9144316747343484,-2.7500810998956946,8.578944449364391
2002-10-01,0.494114897589526,2.8548162032520947,1.370978543566816,2.6057936118561145,2.277196119558342,-3.387316655071701,7.941708894188385
