,BAA,AAA,UNRATE,GS10,TB3MS,HOUST,RPI,INDPRO,INVEST,CPIAUCSL,GDPC1,Covid
1959-04-01,0.010000000000000675,0.10000000000000053,-0.39999999999999947,0.1299999999999999,0.15000000000000036,-0.018692133012152112,0.006510337738810712,0.02107391838228523,0.02492924342483338,0.0013801433164921662,8.913675384248876,0
1959-05-01,0.09999999999999964,0.13999999999999968,-0.10000000000000053,0.1899999999999995,-0.11000000000000032,-0.0596031311371128,0.005796418088242383,0.014953222334699756,-0.015342230301444104,0.0017231279527818444,8.913675384248876,0
1959-06-01,0.08000000000000007,0.08999999999999986,-0.09999999999999964,0.03000000000000025,0.3700000000000001,0.00333222567580993,0.0030682583504999528,0.0011439709746845494,-0.012251827549356165,0.0003393147368777605,8.913675384248876,0
1959-07-01,0.040000000000000036,0.009999999999999787,0.09999999999999964,0.0600000000000005,-0.009999999999999787,0.028854460820091354,-0.0005799841487679203,-0.02423750666455149,0.02934127949386678,-0.0010344127619674737,0.278809715499051,0
1959-08-01,0.009999999999999787,-0.040000000000000036,0.10000000000000053,0.02999999999999936,0.17999999999999972,-0.07864312731911305,-0.005653279366956809,-0.03446570210182287,-0.02549545290244648,-0.00034452474083090934,0.278809715499051,0
1959-09-01,0.08999999999999986,0.08999999999999986,0.2999999999999998,0.25,0.6600000000000001,0.07410797215372167,0.0007634587478921873,-0.0012131779557305045,0.016332904816609428,0.0013674002850874167,0.278809715499051,0
1959-10-01,0.10000000000000053,0.05000000000000071,0.20000000000000018,-0.14999999999999947,0.009999999999999787,-0.127980962093873,0.0012713899587479816,-0.007287494432370423,-0.003397303281035491,0.001016942013014166,1.1383015471430724,0
1959-11-01,-0.020000000000000462,-0.010000000000000675,0.09999999999999964,0.0,0.10000000000000053,0.044034540939863476,0.0075592396941619455,0.0060773443205626165,0.00421393474955245,-0.0034129725962399604,1.1383015471430724,0
1959-12-01,0.020000000000000462,0.020000000000000462,-0.5,0.16000000000000014,0.33999999999999986,0.12279243874304946,0.01019202254431395,0.05998256585922812,0.008364099895071142,0.0020422062917981876,1.1383015471430724,0
1960-01-01,0.05999999999999961,0.03000000000000025,-0.09999999999999964,0.02999999999999936,-0.14000000000000057,-0.09219199829433222,0.003225889554065553,0.02591559014768796,-0.013330265659128315,-0.003403213647172887,8.894873400141279,0
1960-02-01,0.0,-0.05000000000000071,-0.40000000000000036,-0.22999999999999954,-0.3899999999999997,0.02902667505059231,0.0011474687526478178,-0.008937781748409979,-0.018942294390904557,0.0027220147107493986,8.894873400141279,0
1960-03-01,-0.08999999999999986,-0.0699999999999994,0.6000000000000005,-0.2400000000000002,-0.6499999999999999,-0.3040044024026072,0.0018768579734596003,-0.009018386661537203,0.0034899929544396358,-0.0013610073553746993,8.894873400141279,0
1960-04-01,-0.04999999999999982,-0.040000000000000036,-0.20000000000000018,0.03000000000000025,-0.08000000000000007,0.15040801558881967,0.0034645865581355295,-0.00795942173774078,0.024135977627894434,0.004410524537330041,-2.1592465838430996,0
1960-05-01,0.08000000000000007,0.009999999999999787,-0.10000000000000053,0.0699999999999994,0.06000000000000005,-0.014062731749732826,0.0024052932439673214,-0.0011410369402642395,0.0037980980027443323,-0.0033954677761780516,-2.1592465838430996,0
1960-06-01,-0.020000000000000462,-0.009999999999999787,0.3000000000000007,-0.1999999999999993,-0.8300000000000001,-0.019063325509417695,0.0007637415029195793,-0.012650989834767756,-0.00998060589936145,0.0003367514879624167,-2.1592465838430996,0
1960-07-01,-0.040000000000000036,-0.040000000000000036,0.09999999999999964,-0.25000000000000044,-0.16000000000000014,-0.04092224012206369,0.0017909228624430895,-0.0034790131968609472,0.032175940731145936,-0.0033802065105073,1.9549399294533032,0
1960-08-01,-0.13999999999999968,-0.1299999999999999,0.09999999999999964,-0.10000000000000009,0.0,0.11583181552512212,-0.0015969563232669515,-0.0011609265410310599,-0.024113050538035807,0.004056796522785788,1.9549399294533032,0
1960-09-01,-0.07000000000000028,-0.03000000000000025,-0.09999999999999964,0.0,0.18000000000000016,-0.20307106080786497,0.001302054599696234,-0.010522528882984883,0.011518038328270919,-0.002028398261392894,1.9549399294533032,0
1960-10-01,0.10000000000000053,0.04999999999999982,0.5999999999999996,0.0900000000000003,-0.18000000000000016,0.1273592390721685,0.0029491344585013124,-0.0011745777346665598,0.012381287401133534,0.004716989878138733,-5.165737529728887,0
1960-11-01,-0.03000000000000025,0.009999999999999787,0.0,0.040000000000000036,0.07000000000000028,0.0,-0.004305187326959725,-0.014216903885591492,-0.009172434841312693,-0.0037090946139146652,-5.165737529728887,0
1960-12-01,0.019999999999999574,0.040000000000000036,0.5,-0.0900000000000003,-0.1200000000000001,-0.15884332100545073,-0.004580984183950143,-0.019280368692229377,-0.0007401400349777987,-1.0148301070600496e-06,-5.165737529728887,0
1961-01-01,0.0,-0.02999999999999936,0.0,0.0,-0.009999999999999787,0.10695848563643917,0.008911409114721103,0.0012145649942021386,-0.0010370827488186407,-1.0127885365918132e-06,2.6909996853525797,0
1961-02-01,-0.02999999999999936,-0.05000000000000071,0.3000000000000007,-0.06000000000000005,0.17999999999999972,0.03570325251777007,0.003888846029580506,-0.0012145649942021386,-0.010862615172096746,-0.001005867645580416,2.6909996853525797,0
1961-03-01,-0.05000000000000071,-0.04999999999999982,0.0,-0.03999999999999959,-0.029999999999999805,0.06779585300787705,0.004095506818048378,0.0060671079167065045,-0.010808996152634087,0.0,2.6909996853525797,0
1961-04-01,-0.009999999999999787,0.03000000000000025,0.09999999999999964,0.03999999999999959,-0.10000000000000009,-0.11797360259359646,0.0021406935523273773,0.02034477750671826,0.0073904330867540224,-0.001005867645580416,6.7344089130905616,0
1961-05-01,0.0,0.019999999999999574,0.09999999999999964,-0.06999999999999984,0.0,0.05180774179665004,0.0077163448184593975,0.015287272346611314,0.007509297812365645,0.002011735291160832,6.7344089130905616,0
1961-06-01,0.020000000000000462,0.0600000000000005,-0.1999999999999993,0.16999999999999993,0.040000000000000036,0.11814489562052799,0.009407808779960725,0.01390390516949136,0.014077491194212755,-0.001005867645580416,6.7344089130905616,0
1961-07-01,0.05999999999999961,0.08000000000000007,0.09999999999999964,0.040000000000000036,-0.08999999999999986,-0.03460043349326547,0.002847263624423668,0.011442827425403035,-0.013103928793252173,0.002677377770716305,7.608637950862374,0
1961-08-01,0.020000000000000462,0.040000000000000036,-0.40000000000000036,0.1200000000000001,0.1499999999999999,-0.0173786013303161,0.0005659272567299922,0.009059236789770608,0.007404684257442895,-0.0020091518855105406,7.608637950862374,0
1961-09-01,0.009999999999999787,0.0,0.10000000000000053,-0.06000000000000005,-0.11000000000000032,0.08542220842583337,0.0012215943642663873,-0.0011268786865619163,0.001967037487712986,0.0006668877977635823,7.608637950862374,0
1961-10-01,0.009999999999999787,-0.03000000000000025,-0.20000000000000018,-0.06000000000000005,0.020000000000000018,-0.009845367852529208,0.009806058374288718,0.019006911784879232,0.0021500834424088566,-0.0013351136829693466,7.770707414716327,0
1961-11-01,-0.019999999999999574,-0.03000000000000025,-0.40000000000000036,0.020000000000000018,0.18000000000000016,-0.02142939145589917,0.008904464219672725,0.015385483927494281,-0.020370330400386827,0.0,7.770707414716327,0
1961-12-01,-0.010000000000000675,0.03000000000000025,-0.09999999999999964,0.11999999999999966,0.1200000000000001,-0.01454571100237878,0.005988423809614396,0.008685433405564602,0.0062930209276901294,0.0010001667778238854,7.770707414716327,0
1962-01-01,-0.019999999999999574,0.0,-0.20000000000000018,0.020000000000000462,0.1200000000000001,-0.0029347049675942927,-0.000999389383697924,-0.008689483210060356,0.0013858042186161157,-9.993341656411303e-07,7.071770337623207,0
1962-02-01,-0.009999999999999787,0.0,-0.2999999999999998,-0.040000000000000036,0.009999999999999787,-0.06292336771398599,0.004230016385172952,0.016224855756237666,-0.010768772050798958,0.0013283481540504738,7.071770337623207,0
1962-03-01,-0.03000000000000025,-0.03000000000000025,0.09999999999999964,-0.10999999999999988,-0.009999999999999787,0.12142792383639112,0.006855174008377318,0.005352951036389442,-0.004433464556960587,-0.00033680492038135057,7.071770337623207,0
