date,forecast_AR,forecast_ADL,forecast_RF,actual,forecast_Ensemble,CI_Lower,CI_Upper
1980-04-01,2.707,-4.92,,-8.328,-1.106,-6.685,4.473
1980-07-01,2.461,0.251,,-0.476,1.356,-4.223,6.935
1980-10-01,1.773,6.613,,7.391,4.193,-1.386,9.772
1981-01-01,2.741,5.298,,7.762,4.019,-1.56,9.598
1981-04-01,3.498,-0.99,,-2.975,1.254,-4.325,6.833
1981-07-01,3.23,3.721,,4.762,3.475,-2.103,9.054
1981-10-01,2.429,-3.64,,-4.382,-0.606,-6.184,4.973
1982-01-01,2.905,-2.297,,-6.263,0.304,-5.275,5.883
1982-04-01,1.984,1.435,,1.821,1.71,-3.869,7.288
1982-07-01,2.034,0.127,,-1.532,1.08,-4.498,6.659
1982-10-01,2.707,-3.533,,0.16,-0.413,-5.992,5.166
1983-01-01,2.436,6.232,,5.237,4.334,-1.245,9.913
1983-04-01,2.74,5.833,,9.0,4.286,-1.292,9.865
1983-07-01,3.328,9.023,,7.917,6.176,0.597,11.755
1983-10-01,3.655,7.802,,8.259,5.728,0.149,11.307
1984-01-01,3.562,6.254,,7.744,4.908,-0.671,10.487
1984-04-01,3.58,6.238,,6.852,4.909,-0.67,10.488
1984-07-01,3.506,1.783,,3.838,2.644,-2.934,8.223
1984-10-01,3.336,3.389,,3.27,3.363,-2.216,8.941
1985-01-01,3.034,1.636,,3.857,2.335,-3.244,7.914
1985-04-01,2.996,2.243,,3.506,2.62,-2.959,8.198
1985-07-01,3.042,3.503,,6.063,3.272,-2.306,8.851
1985-10-01,3.081,1.802,,2.963,2.441,-3.137,8.02
1986-01-01,3.236,3.266,,3.718,3.251,-2.328,8.83
1986-04-01,2.963,1.758,,1.797,2.36,-3.218,7.939
1986-07-01,2.981,3.432,,3.808,3.206,-2.372,8.785
1986-10-01,2.855,4.632,,2.14,3.744,-1.835,9.323
1987-01-01,2.999,4.948,,2.956,3.973,-1.605,9.552
1987-04-01,2.864,5.201,,4.29,4.032,-1.547,9.611
1987-07-01,2.979,4.015,,3.454,3.497,-2.082,9.076
1987-10-01,3.082,4.99,,6.81,4.036,-1.543,9.614
1988-01-01,3.097,3.467,,2.062,3.282,-2.297,8.861
1988-04-01,3.282,4.496,,5.222,3.889,-1.69,9.468
1988-07-01,2.92,2.612,,2.337,2.766,-2.812,8.345
1988-10-01,3.139,4.356,,5.295,3.747,-1.831,9.326
1989-01-01,2.948,4.276,,4.045,3.612,-1.967,9.191
1989-04-01,3.194,0.169,,3.041,1.681,-3.897,7.26
1989-07-01,3.047,2.214,,2.952,2.63,-2.948,8.209
1989-10-01,2.949,1.183,,0.787,2.066,-3.513,7.645
1990-01-01,2.88,4.811,,4.348,3.845,-1.733,9.424
1990-04-01,2.775,2.418,,1.449,2.596,-2.983,8.175
1990-07-01,3.031,-0.332,,0.266,1.349,-4.23,6.928
1990-10-01,2.722,-0.309,,-3.658,1.207,-4.372,6.786
1991-01-01,2.499,-0.874,,-1.876,0.812,-4.766,6.391
1991-04-01,2.177,2.297,,3.107,2.237,-3.342,7.816
